name,meat
Capsicum Masala Poriyal,FALSE
Kerala Style Raw Banana and Suran Kotu Curry - Kerala Style Plantain and Yam Thoran,FALSE
Cheese Stuffed Aloo Bonda,FALSE
Dahi Wale Paneer - Paneer In A Curd Gravy,FALSE
Nutty Aloo Paratha,FALSE
Chicken Tikka Taco Topped With Cheesy Garlic Mayo,TRUE
Masalewali Turai Sabzi - Masalawali Turai Sabzi,FALSE
Pudina Mushroom And Soya Biryani,FALSE
White Vegetable Kurma With Coconut and Cashew,FALSE
Muttaikose Poriyal - Cabbage Stir fry With Coconut,FALSE
Bengaluru Style Brinjal Gravy - For Biryani,FALSE
PF Chang's Style Crispy Chicken Lettuce Wraps,TRUE
Lemon Frozen Yogurt,FALSE
Paneer Capsicum Sandwich,FALSE
Dry Suran Masala Vegetable,FALSE
One Pot Pressure Cooker Chicken Curry - One Pot Pressure Cooker Chicken Curry,TRUE
Lauki Ka Salan - Bottle Gourd Salan,FALSE
Togari Bell Thove - Tour Dal Juice,FALSE
Chicken Shawarma,TRUE
Mushroom Paratha,FALSE
Palak Chana Dal - Healthy Spinach Gram Dal,FALSE
Pasi Paruppu Kosumalli (Spiced Lentil Salad),FALSE
Maharashtrian Style Semolina and Yogurt Cake,FALSE
Ragi Masala Roti,FALSE
Dry Sweet Potato Thoran,FALSE
Oreo Milkshake,FALSE
Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo,FALSE
Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter),FALSE
Dhugare Baingan - Dhungare Baingan,FALSE
Rajasthani Style Dried Gatta Capsicum Vegetable,FALSE
Indo Chinese Crispy Chicken Chilli,TRUE
And fish soup - Bengali fish curry,TRUE
Stem Lettuce Tamarind Broth - Surri left behind by Amarnath Greens,FALSE
Crispy Masala Peanuts - Gujarati Sing Bhujia,FALSE
Maa Ki Dal,FALSE
Palak Mushroom Makhani - Creamy Spinach and Mushroom,FALSE
Dahi Bhalla Papdi Chaat,FALSE
Wheat Grass Shikanji - Wheat Grass Lemonade,FALSE
Chole Masala - Dry Masala Chickpeas,FALSE
Rajasthani Kachri Chutney - Rajasthani Kachri Ki Chutney,FALSE
Fasting Potato Paneer - Potato Paneer Curry Without Onion And Garlic,FALSE
Katachi Amti,FALSE
Khara Obbattu (Bread Stuffed With Spicy Potato Mixture),FALSE
Cauliflower Matar Bhurji,FALSE
Kashmiri Style Paneer Masala,FALSE
Aromatic Vegetable Pulao,FALSE
Spicy Curd - Spicy Curd With Onions,FALSE
Mustard Vegetable Curry,FALSE
One Pot Spicy Vegetable Pulao with Coconut Milk,FALSE
Bengali Aloo Dum - Bengali Aloo Dum,FALSE
Hyderabad Soy Biryani With Vegetables and Palak,FALSE
North Indian Feni - Sevaiyan Kheer,FALSE
South Indian Papad Curry - Appalam Vathal Kuzhambu,FALSE
Moong Dal Khichdi For Babies And Toddlers Over 10 Months,FALSE
Dahi Wale Aloo (Indian Yogurt-based Potato Curry),FALSE
Vegetable Fried Brown Rice,FALSE
Eggless Devil's Food Cake,FALSE
Bengali Langcha With Mawa,FALSE
Kovakkai Podi Curry - Tamil Nadu Style Ivy Gourd Stir Fry,FALSE
Biryani Masala Powder - Biryani Masala Powder,FALSE
"Chicken Sausages, Baked Beans and Stir Fried Broccoli",TRUE
Crispy Chicken Dumplings,FALSE
Turkish Chicken Gozleme-Stuffed Spinach Chicken Bread,TRUE
Moon Biscuits (Moon Shaped Baked Cookies),FALSE
Andaman Style Steamed Garlic Prawns,FALSE
Fruit Pachadi,FALSE
Aloo Matar Masala Khichdi,FALSE
Rock Toast - Semolina Bread Toast,FALSE
Potato Vindaloo (Spicy Goan Potato Curry),FALSE
Lu Potol Post (Lu Parwal In Poppy Seed Masala),FALSE
Aloo Bhey Ki Sabzi (Potato Lotus Stem Curry),FALSE
Classic Grilled Tomato Cucumber Chutney Sandwich,FALSE
Homemade Granola Mix with Oats and Wheat Flakes,FALSE
Baingan Sarson Ka Saag,FALSE
Kalyana Veetu Senai Curry - South Indian Spicy Roasted Yam,FALSE
Chettinad Thakkali Sadam (Chettinad Style Tomato Rice),FALSE
Thai Yellow Coconut Curry Rice,FALSE
Stuffed Bhindi With Paneer,FALSE
Bael Ka Sharbat - Wood Apple Squash Drink,FALSE
Raw Mango Murabba - Cinnamon Spiced Mango Jam,FALSE
Karnataka Style Gorai Kai Kara - Cluster Beans Chutney,FALSE
Kunafa With Mango Cottage Cheese Cream,FALSE
Royal Bread Gulab Jamun,FALSE
Safed Achari Baingan - White Aubergine in pickled spices,FALSE
Potlankaya Perugu Pachhadi (Curd and Sunke Gourad Chutney),FALSE
Karela Dahi Puri - A Chatpata Chaat Made From Bitter Gourd,FALSE
Kasuri Methi and Potato Frying,FALSE
Sprouted Matki Chila with Spinach - Moth Bean Chila,FALSE
Malabar Kaai Curry With Nenthra Pazham,FALSE
Assamese Sweet Kordoi,FALSE
Steamed Bafauri (Bhojpuri Style Steamed Chana Dal Balls),FALSE
Jodhpuri Aloo,FALSE
Vedakkai Thoran - Kerala Style Bhindi Stir Fry,FALSE
Gram and Potato Dry Vegetable,FALSE
Tomato Chicken Roast Flavoured With Kasuri Methi,TRUE
Nellikai Oorugai / Amla Sambhario (Instant Gooseberry Piccile),FALSE
Baingan Sarson Ka Saag - Brinjal Mustard Saag,FALSE
Stuffed Arbi Paratha,FALSE
Tomato Curry Leaf Chutney - Tomato Curry Leaf Chutney,FALSE
Rajasthani Goonde Vegetable (Bird Lime Stir Fry),FALSE
Raw Jackfruit Burrito,FALSE
Bengali gram dal,FALSE
Hyderabadi Vegetable Biryani - Hyderabadi Vegetable Biryani,FALSE
Chocolate Chip and Raisin Rolls,FALSE
Baby Corn Cigar,FALSE
Wheat Millet Thepla - Bajra Masala Paratha,FALSE
Kaju Badam Ladoo,FALSE
Spaghetti Aglio Olio With Parmesan and Greens,FALSE
Mushroom Dumpling With Potatoes (Momos),FALSE
Tomato Curry Leaf Chutney With No Onion No Garlic,FALSE
Baked Oats and Whole Wheat Kachori Stuffed with Peas,FALSE
Masala Carrot And Peas Sandwich,FALSE
Stuffed Onion Vegetable - Bharwa Pyaz Ki Sabzi,FALSE
Aam Panna Pani Puri,FALSE
Quinoa Vegetable Upma,FALSE
Whole Wheat Espresso Chocolate Streusel Cake,FALSE
Basella Fritters - Malabar Spinach Fritters,FALSE
Fig Honey and Paprika Preserve,FALSE
Sepu Vadi (Himachali Split Urad Dal Dumplings In Spinach Gravy),FALSE
Himachali Dry Raw Mango Chutney,FALSE
Vegan Navratan Korma,FALSE
Lentils and Mixed Grains Khichda,FALSE
Chettinad Pakora Curry,FALSE
Banana Pomegranate Raita - Kela Anar Raita,FALSE
Dhania Wale Aloo - Coriander Potato Dry,FALSE
Case Podimas (South Indian Style Blindine Mash),FALSE
Baked Potato-Spaghetti Rolls,FALSE
Rajasthani Ghasela - Besan Ka Pitta,FALSE
Andhra Style Bendakaya Charu - Ladies Finger Rasam,FALSE
Mexican Vegetarian Burrito Bowl,FALSE
Dahi Bhindi - Okra in Yogurt Curry with Caramelized Onions,FALSE
Palak Paneer Bhurji - Palak Paneer Bhurji,FALSE
Badam Halwa,FALSE
Sweet and Spicy Vegetable Hong Kong Style,FALSE
Badam Halwa,FALSE
Tender Coconut Ice Cream,FALSE
Milk Powder Chena Burfi,FALSE
Carrot Orange Walnut Raita (Fruity Nutty Yogurt),FALSE
Coffee Chocolate Truffles,FALSE
Karnataka Style Ragi Ujju Rotti,FALSE
Pui Shaker Chorchori - Mixed Vegetable Curry With Malabar Spinach,FALSE
Potato Pancakes,TRUE
Bamboo Shoot Stir Fry,FALSE
Udupi Style Red Parboiled Rice Sevai (Red Rice Vermicelli),FALSE
Till Wale Aloo - Sesame Potato Sabzi,FALSE
Beetroot Loni Sponge Dosa,FALSE
Sweet and Spicy Stuffed Paneer In Kofta Curry,FALSE
"Sichuan Style Zhong Shui Jiao (Caramelized Onion, Cabbage And Peas Dumplings in Red Oil)",FALSE
Spicy Baby Potatoes,FALSE
Barley Whole Wheat Coffee Marble Cake,FALSE
Chettinad Dry Pepper Chicken,TRUE
Andhra Style Lettuce Pulp (Spinach Dal),FALSE
Rich Dark Chocolate Mousse,TRUE
Hunase Gojju - Hunase Gojju,FALSE
Qahwa | Arabic Coffee,FALSE
Broccoli Corn and Barley Soup,FALSE
Spirulina and Mint Basil Pesto Pasta,FALSE
Goan Style Sando (Steamed Rice Cakes Filled With Sweet Coconut),FALSE
"Til Moongphali Aur Kundru Sabzi - Sesame, Peanuts And Ivy Gourd Stir Fry",FALSE
Asian Style Honey Soy Sticky Chicken,TRUE
Kaigari Pirattal (Chettinad Style Mixed Vegetables),FALSE
Pomegranate Frozen Margarita,FALSE
Chinese Egg Fried Rice With Oats,TRUE
Matar Besan and Paneer Cheela - Matar Besan and Paneer Cheela,FALSE
Leftover Roti Cutlet,FALSE
Flourless Orange Cake With Cream Cheese Frosting,TRUE
Spicy Paneer Bhurji Pav Sandwich - Breakfast,FALSE
Asian Style Baby Corn With Sesame Seeds and Peanut Sauce,FALSE
Papaya and Carrot Halwa,FALSE
Phalguni Dal,FALSE
Soft Millet Taco Topped With Hummus and Veggies,FALSE
Sprouted Moong And Onion Fritters,FALSE
Lemon And Ginger Spicy Black Eyed Beans,FALSE
Gawar Phali Masala Sabzi - Cluster Beans Gravy Sabzi,FALSE
Corn only quiche,FALSE
Lacha Onion - Masala Pickled Onions,FALSE
Masala Cornflakes Chicken,TRUE
Tofu Bhurji - Spicy Scrambled Tofu,FALSE
Savoury Bread Pudding,TRUE
Stuffed Radish Paneer Paratha,FALSE
Orange Peppermint Green Tea Punch,FALSE
Zucchini Tater Tots - A Delicious Party Appetizer,FALSE
Moringa Masoor Dal - Drumstick Leaves Dal,FALSE
Gujarati Methi Na Dhebra,FALSE
Pear And Walnut Salad,FALSE
Rajasthani Gatte Ki Sabzi With Onion and Garlic,FALSE
Bengali Aloo Potol er Dalna - A Traditional Vegetable Side Dish,FALSE
Egg Sholay Kebab,TRUE
One Pot Methi Mushroom Brown Rice Pulao,FALSE
Egg and Bread Fried Rice,TRUE
Veg Mughlai Paratha,FALSE
Crispy Vegetable Tempura,FALSE
Andhra Style Stuffed Boils (Crispy Tapioke Snack),FALSE
Andhra Style Palakura Vepudu - Spinach Stir Fry,FALSE
Papaya Orange Pomegranate Salad With Roasted Peanuts,FALSE
Paka Kela Ki Sabzi | Paka Kela nu Shaak | Gujarati Jain,FALSE
Chocolate Tart,TRUE
Navrang dal - Navrang Dal,FALSE
Green Moong Dal Sundal - Green Moong Dal Sundal,FALSE
Chow Chow Sambar - Chow-Chow Sambar,FALSE
Tamil Nadu Style White Paniyaram - Semi Sweet Rice and Dal Printers,FALSE
Kurkuri Bhindi With Spicy Tomato Yogurt Gravy,FALSE
Thulli (Broken Wheat Halwa),FALSE
Gulkand Chai - A Delicious Rose Flavored Indian Tea,FALSE
Spinach And Tortellini Soup,FALSE
Chak-Hao Amubi (Black Rice Pudding),FALSE
Four Cheese and Spinach Stuffed Mushrooms,FALSE
Roasted Vegetable Pasta Primavera,FALSE
Kashmiri Style Chicken Pulao,TRUE
Stuffed Tomato With Stir-Fried Quinoa And Feta,FALSE
Keeme Ja Bhalla - Sindhi Mutton Keema Balls In Gravy,TRUE
Kabuli Chana Sundal - Chickpea Sundal,FALSE
Spinach And Corn Sandwich Flavored With Sandwich Spread,FALSE
Spaghetti Pasta In Roasted Pumpkin Sauce,FALSE
Cold Potato Salad With Cilantro Dressing,FALSE
Pista Burfi - Indian Spiced Pistachio Fudge,FALSE
No Onion No Garlic Lobia Masala In Electric Pressure Cooker,FALSE
Instant Puliodarai Powder (Puliogare / Pulihora Powder),FALSE
Vendakka Stew (Kerala Style Okra Stew),FALSE
Party Sev Puri Filled With Potato and Pomegranate Mint Mayo,FALSE
Rava Chakli - Karnataka Style With Rava and Rice Flour,FALSE
Roasted Chickpeas,FALSE
Carrot Chutney,FALSE
Peeled Moong Dal Curry,FALSE
For Chikki - Healthy Sesame Bars,FALSE
Chocolate Glazed Coconut Macaroons,FALSE
Sookhi Moong Palak Dal (Whole Green Moong Gram with Spinach),FALSE
Coconut Chocolate Balls,FALSE
Kerala Style Pacha Mango Avial,FALSE
Stuffed Palak Paneer Paratha,FALSE
Meen Vevichathu - Kottayam Style Fish Curry,TRUE
Masoor Dal Gassi - Masoor Dal Gassi,FALSE
Potato Stuffed Dal Dhokli,FALSE
Green Chilli Chicken Fry - Green Chilli Chicken Fry,TRUE
Tofu and Chickpea Patty (Cutlets),FALSE
Paneer In Coconut Gravy,FALSE
Keerai Masiyal,FALSE
Thai Som Tum (Thai Green Papaya Salad),FALSE
Desiccated Coconut Coriander Chutney,FALSE
Quick Masala French Toast,TRUE
Kerala Style Tapioca with Coconut Curd Chutney,FALSE
Matcha Cookies,FALSE
"Corn Salad With Radishes, Jalapeño And Lime In Mint Mayo",FALSE
Goan Poee,FALSE
Chunky Cucumber Salsa,FALSE
Grilled Eggplant With Tahini and Yogurt Dip,FALSE
Potato Paneer Curry Without Onion And Garlic (Vrat Wale Aloo Paneer),FALSE
Fansi Muthia Nu Shaak - Green Beans With Gram Flour Dumplings,FALSE
Kerala Style Appam - Kerala Style Appam,FALSE
Kashmiri Style Shab Deg-Mutton Kofta and Turnip Curry,TRUE
Tofu Banh Mi - Vietnamese Grilled Tofu Sandwich,FALSE
Sour Sweet Petha (Yellow Pumpkin Vegetable),FALSE
Macher Chop (Bengali Style Fish Croquettes),TRUE
Mixed Sprouts Sabzi,FALSE
Baked Muesli Tart with Strawberry Yogurt and Chia Seeds,FALSE
Banoffee Pie,FALSE
Himachal Style Khatta Jimikand - Spicy Tangy Yam,FALSE
Tulsi and Betel Leaves Rasam - Tulsi and Betel Leaves Rasam,FALSE
Prawn Ghee Roast,TRUE
Rosemary Roasted Potatoes And Pepper Salad,FALSE
Baked Roasted Vegetable Lasagna With Low Fat Cheese and Oat Sauce,FALSE
Dharwad Peda,FALSE
Chickpea Coconut Milk Curry,FALSE
Vegan Kofta Curry,FALSE
Chana Dal Chutney,FALSE
Coriander Prawn Cakes,TRUE
Delicious Skillet Plum Cake,TRUE
Sweet Potato Dal,FALSE
Beetroot Millet Paniyaram,FALSE
Nutty Oats Almond Truffle - A Healthy Snack,FALSE
Chicken and Mushroom Pot Pie,TRUE
Lentil Sauce - Stewed Coconut Milk Sauce,FALSE
Tandoori Aloo Gobi Kathi Roll - Spicy Aloo Gobi Frankie,FALSE
Roasted Potatoes and Zucchini Bake In A Creamy Parsley Sauce,FALSE
Spiced Whole Wheat Carrot Cake,FALSE
Grilled Tangy Lime Salmon Steak,TRUE
Bihari Shakarkand Bhujia - Spicy Sweet Potato Sabzi,FALSE
Egg White Spinach Omelette With Garlic and Oregano,TRUE
No Onion No Garlic Spiced Apple Tomato Curry,FALSE
Homemade Spicy Ramen with Tofu,FALSE
Ambul Polos Curry - Sri Lankan Jack Fruit Curry With Pol Sambol,FALSE
Stuffed Gilka (Maharashtrian Style Stuffed Silk Squash),FALSE
Drumstick Spinach Juice,FALSE
Palak Paneer - Palak Paneer,FALSE
Broken Wheat Upma Or Dalia Khichdi for Babies and Toddlers,FALSE
Name Cucumber Salad - Quickcomber sausage,FALSE
Crispy Vegetable - Crispy Bhujia,FALSE
Dried Neem Flower Flavored Rice,FALSE
Cauliflower Croquettes,FALSE
Broccoli And Aloo Poriyal - South Indian Broccoli And Potato Stir Fry,FALSE
Hot and Spicy Chicken Curry Noodles,TRUE
Nendra Pazham Pulissery - Ayurvedic,FALSE
Spinach Coriander Dosa - Spinach and Coriander Dosa,FALSE
Rosemary And Thyme Chicken,TRUE
Akoori with Green Peas (Parsi Style Scrambled Eggs with Green Peas),TRUE
Mishti Doi - Traditional Bengali Sweet Yogurt,FALSE
Whole Wheat Flour Murukku,FALSE
Indian Beaten Coffee | Dalgona Coffee,FALSE
Coriander and Coconut Chutney - Green Coriander And Coconut Chutney,FALSE
Lauki Badi Ki Sabzi,FALSE
Guilt Free Coconut Barfi,FALSE
Kerala Chicken Curry With Freshly Ground Spices,TRUE
Fulkopir Paturi,FALSE
Apple Tart with Puff Pastry (Open Pie),FALSE
Broccoli Soup - For Babies/Toddlers above 7 months,FALSE
Karnataka Special Huli Tovve,FALSE
Garlic Tikki,FALSE
Baked Fish Crisps (Fish Fry In Oven),TRUE
Left Over Vadai Upma,FALSE
Hyderabadi Chand Biscuits,FALSE
Mullu Murukku - Mullu Murukku,FALSE
Prawns Fried Rice,TRUE
Homemade Vada Pav With Spinach Corn Tikki,FALSE
Carrot Pulao - Carrot Rice,FALSE
Gur Paare (A traditional Punjabi Wedding Sweet),FALSE
Spinach and Garlic Potato Patties,FALSE
Pumpkin Peas Palya,FALSE
Thandai Srikhand Tart,FALSE
Masala Dosa With Red Chutney - Masala Dosa With Red Chutney,FALSE
Palak (Spinach) Puri,FALSE
Peas and Peel Vegetables (Peas and Peel Stir Fry),FALSE
How To Boil Eggs At Home - Boiled Eggs,FALSE
Boiled Egg With Salt And Pepper - Finger Food For Babies Above 9 Months,TRUE
Spinach Thalipeeth,FALSE
Paneer Satay,FALSE
Pumpkin Almond - Ach Gert Surri With Dal,FALSE
Taiwanese Pineapple Cake - Shortcrust Pastry Cake,TRUE
Grilled lentil,FALSE
Chettinad Vengaya Kosu (Spicy Curry from Chettinad Cuisine),FALSE
Greek Style Spinach Spanakopita,FALSE
Lauki Burfi With Paneer - Bottle Gourd Fudge With Cottage Cheese,FALSE
Menthi Aaku Badeela Koora - Besan Muthia Cooked With Methi Leaves,FALSE
Microwaved Egg-Omelette-In-A-Mug,TRUE
Sesame Kameer Good Ride (Orange Khair),FALSE
Green Pea Pakoras - Green Pea Freighters,FALSE
Sooji Halwa Breakfast Bowl,FALSE
Banana Digestive Pudding With Pistachios,FALSE
Chawli Ki Phali and Aloo Sabzi,FALSE
Karnataka Style Gasagase Payasa- Poppy seed Payasam,FALSE
Meethe Chawal - Zarda Pulao,FALSE
Navratan Korma,FALSE
Rice - Steamed Rice,FALSE
Malpua with Rabri (A Spiced Indian Pancake with Milk Pudding),FALSE
Mexican Style Omelette With Avocado Dressing,TRUE
Bavarian Mushroom Sauce,TRUE
Paneer Mushroom Stuffed Spinach Wrap Flavoured With Prunes,FALSE
Karpooravalli Chutney (Tamil Nadu Chutney With Big Thyme),FALSE
Star Trek Curry (Parsi Steel Vegetable Curry),FALSE
Chicken With Mushroom Sauce,TRUE
Goan Chicken Vindaloo,TRUE
Indo Chinese Hot and Sour Spinach Soup,FALSE
Kashmiri Kokur T Nadir-Chicken and Lotus Stem Curry,TRUE
Spicy Chickpea Tacos With Indian Twist,FALSE
Nepalese Style Dhal Bhat,FALSE
Ginger Sesame Chicken With Bok Choy And Mushrooms,FALSE
Murungakkai Mor Kuzhambu-Drumstick Buttermilk Curry,FALSE
Parsi Style Lagan Sara Istew - Rich Sweet Assorted Vegetable Curry,FALSE
Arunachal Pradesh Zan - Finger Millet Porridge with Vegetables,FALSE
Green Chana Chutney (Green Chickpea Chutney),FALSE
Mixed Beans Vegetable Pulao,FALSE
Pacha Manga Pachadi - Raw Mango Pachadi,FALSE
Odiya Style Chana Dal With Potato and Pumpkin Curry,FALSE
Black Pepper Singhada Vegetable,FALSE
Puli Upma - Tamarind and Reese Rao Upma,FALSE
Whole Wheat Eggless Cinnamon and Raisin Swirl Bread,FALSE
Egg Pulao,TRUE
Methi Muthiya (Wheat Flour And Fenugreek Dumplings),FALSE
High Protein Spinach Basil and Cheese Omelette,FALSE
Mixed Vegetable Sagu - Karnataka Style Vegetable Kurma,FALSE
Mexican Lime Chicken,TRUE
Andhra Style Cucumbers / Caramel Undalu (Rice Flour Chochonuth Fritters),FALSE
Makhane vegetable,FALSE
Szechuan Vegetarian Fried Rice,FALSE
Achari Gobi Shimla Mirch Ki Sabzi - Capsicum And Cauliflower Sabzi,FALSE
Carrot and Oats  Whole Wheat Bread,TRUE
Chole Biryani - Spicy Chana Biryani,FALSE
Herbed Butter Garlic Quinoa,FALSE
Rajgira Paneer Paratha (Navratri Fasting/Vrat),FALSE
Grilled Paneer Pineapple Sandwich,FALSE
Oats and Vegetable Kebab - Oats and Vegetable Kebab,FALSE
Strawberry Chocolate Loaf Cake,TRUE
Cheddar Beer Bread - Cheesy Bread,FALSE
Healthy Fruit and Nut Watermelon Dessert With Greek Yogurt,FALSE
Tandoori Potatoes,FALSE
Mango Kalakand,FALSE
Sesame Noodles With Napa Cabbage,FALSE
Bengali Potol Bhaj-Bengali Steel Parwal Sabzi,FALSE
Kerala Style Arabic Vegetable - Kerala Style Arbi Curry,FALSE
Duration Special Nihari,TRUE
Cabbage Onion Vada,FALSE
Cantonese Chicken With Mushrooms,TRUE
Goan Style Banana Halwa (Kelyacho Halwo),FALSE
Chocolate Coffee Sticky Cake,TRUE
Chole Capsicum Masala - Chole Capsicum Masala,FALSE
Carrot Tadka Raita- Crunchy Grated Carrot In Yogurt,FALSE
Besan Arbi Roast - Spicy Colocasia Stir Fry,FALSE
Carrot and Capsicum Rice - Carrot and Capsicum Rice,FALSE
Senai Potato Curry - Spicy Chettinad Style Yum Stir Pre,FALSE
"Date, Nuts And Quinoa Energy Bite",FALSE
Gavarfali Ki Sukhi Sabzi,FALSE
Mullangi Curry,FALSE
Dum Pukht Gosht - Slow Cooked Mutton Curry,TRUE
Idli Manchurian With Oriental Twist,FALSE
Konkani Style Avnas Ambe Sasam-Fruit Salad with Coconut,FALSE
Kakdi Chi Koshimbir - Maharashtrian Style Cucumber Salad,FALSE
Chatpati Sattu Ki Kachori - Kachori Stuffed with Sattu and Pickle,FALSE
Foxtail Millet Pongal,FALSE
Shepuchi Bhaji (Stir Fried Maharashtrian Suva/Dill Greens),FALSE
Bhindi and Capsicum Sabzi,FALSE
Oats Ven Pongal,FALSE
Kerala Style Chicken Chatti Pathiri,TRUE
Black Eyed Peas Masala Vadas,FALSE
Nawabi Paneer Curry - Nawabi Paneer Curry,FALSE
Broccoli Chilli Noodles With Grilled Salmon,FALSE
Palak Pulao,FALSE
Roasted Garlic Potato Soup,FALSE
Vegetable Filled Souffle,TRUE
